;Name;Description;Followers
1631;To Inspire;Thoughts and ideas that inspire.;722
1632;Real Pig Farming;#RealPigFarming unites pig farmers, academics, youth, veterinarians and allied industry members to discuss how modern pork production really works.;721
1633;Lickability Blog;A small, detail-obsessed software studio in New York making apps for iOS.;720
1634;Matic Network;Secure, scalable and instant transactions for everyone. Powered by Ethereum blockchain.;719
1635;Public Health Connection;From the Washington State Department of Health;719
1636;Veritable;Towards human-centered AI. https://veritable.pw;718
1637;DevsDesign;A collection of thoughts to help developers become better designers: http://devs.design;718
1638;Make Side Project;Making a Side Project in Public;718
1639;Fresh Tilled Soil;We’re Fresh Tilled Soil. UX Designers and strategists inspired by human biology. Our strong opinions are our own. We take full responsibility for what we say and create.;717
1640;Trabe;We are a development studio. We use Java, Rails, and JavaScript. This is where we write about the technologies we use at Trabe.;717
1641;Speedinvest;Speedinvest is a European VC with more than €400M AUM and 40 investment pros working from Berlin, London, Munich, Paris, Vienna and San Francisco. We fund innovative early-stage startups in Fintech, Digital Health, Consumer Tech, Network Effects, Deep Tech and Industrial Tech.;715
1642;Struggling Forward;Helping each other through the struggle on the way to our dreams. Join our newsletter: http://bit.ly/2rECK1O;714
1643;adamant.im;Relax. You are safe now.;714
1644;nDash;nDash.co provides content creation software & services. With an award-winning platform and the world's top freelance writers, it's not surprising some of the top digital agencies & brands have turned to nDash for content creation. Sign up for a free account at www.nDash.co.;712
1645;the composite;made up of various elements;712
1646;Xplor8;Business explorations to catalyze startup’s success;711
1647;Smarter Time;What would you do with 1 extra hour every day? We help you build the life you want, one minute at a time. Get our time management app on www.smartertime.com #TheLifeYouWant;710
1648;Global Waters;Global Waters tells the story of USAID's water-related efforts around the globe, featuring in-depth articles exploring solutions to local as well as global water challenges, opinion pieces by development professionals, and first-hand accounts from stakeholders and beneficiaries.;710
1649;SABAT Magazine;Sabat fuses witchcraft and feminism, ancient archetypes and instant art.;708
1650;Techspace Blog;Techspace HQ shares news and views on matters that affect our members and the wider tech community. Follow Techspace and join the fastest growing scale-up community in Northern Europe.;708
1651;Awesome Cloud;Your place to learn more about Cloud Computing.;707
1652;From the Corner of Edgar & Dave;Official blog of the Seattle Mariners;707
1653;New Game +;Skeleton keys for your next play-through;706
1654;Proof of Working;COZ community magazine;705
1655;Neurotrack;On a mission to improve cognitive health.;704
1656;Adyen Tech;Insights from the team building the world’s payments infrastructure.;703
1657;Recipes for a Healthy World: A Greenpeace Cookbook;Recipes for a Healthy World is a collaboration of chefs, cooks, and food bloggers from around the world, celebrating plant-based foods. We hope that this cookbook will inspire you to explore more plant-based foods and help you discover new favorites.;701
1658;Rough Draft Ventures;Covering all things student startup;700
1659;The Clever Quill;The Clever Quill is a creative space for the insatiably curious. From writing tips to the freelance/entrepreneur lifestyle, quirky mishaps to diverse travelling experiences, buckle in for a little adventure (and a few laughs) with every read.;700
1660;Engineered @ Publicis Sapient;We fuse startup thinking and agile methods to help established companies increase value, drive efficiencies and thrive in an evolving world;699
1661;System Design Blog;My System Design notes;699
1662;Booking.writes;Stories from the writers at Booking.com;699
1663;Creditas Tech;Our technologies, innovations, digital product management, culture, and much more!;698
1664;Inspired Writer;Supporting new writers to earn, publish, create, and learn;698
1665;Building With React Native;Technical posts about React Native. What issues we encountered while developing Math Warriors Android game and how we solved them.;698
1666;Bukalapak Design;All the stories, experiences, and explorations by Bukalapak Design team members;696
1667;WeTransfer;WeTransfer makes tools to move ideas across the creative spectrum: editorial platform WePresent, mobile app ‘Collect’, slide-making tool Paste®, sketching app Paper®, and WeTransfer.com with 50 million monthly users and over a billion files sent each month.;696
1668;CEOPLAYBOOK;A publication full of stories from real CEOs and practical sage advice.;695
1669;The Dharma Dispatch Annexe;India. Cultural Chronicles. Classicism. Traditional Values. Literature. Cinema. Media Critique. Political Commentary.;695
1670;Swift Algorithms & Data Structures;A book on modern code, illustrations & computer science;693
1671;Impossible;Building the future of possibilities, not inevitabilities.;691
1672;Digitizing Polaris;News and narratives on the trek to the digital enterprise.;691
1673;WeWork Technology;We believe there's a macro shift toward a new way of work today - one focused on a movement towards meaning. WeWork Technology is proud to be is accelerating this movement. Interested in joining? https://www.wework.com/careers/department/technology;691
1674;Kata Containers;Kata Containers is an open source community building extremely lightweight VMs that perform like containers, but provide the workload isolation and security advantages of adding a virtual machine layer. katacontainers.io;689
1675;IT Dead Inside;IT is a cesspool, but its home;688
1676;zipBoard;Web development & e-learning stories, startup lessons, tech tips, 2am musings, and more from our app development on zipBoard (www.zipboard.co);688
1677;SpainInTheUSA;Highlighting the strong relationship between Spain and the U.S.;688
1678;MLK50: Justice Through Journalism;Examining poverty, power and policy in Memphis.;688
1679;Firefox User Experience;Firefox User Experience Design, Content Strategy, and Research;688
1680;Crossroads Church;Advice, stories, reflections, and tips from Crossroads Church and our community.;687
1681;The .fit Way;The official cure.fit Blog — Get in on the how and the why of what we do to make health easy.;686
1682;blog.dmarcinkowski.pl;Blog of Daniel Marcinkowski;685
1683;Design and Tech.Co;Ideas for the 21st Century Hustler. www.designandtech.co;683
1684;Comet Labs;We're a venture capital fund and platform for AI and robotics startups transforming foundational industries.;680
1685;Of Misdeeds and Mysteries;"True Crime and Unbelievably Real Stories; we aim to shine a light on the forgotten and unknown.";678
1686;McGill AI Society Blog;The official blog of the McGill Artificial Intelligence Society. We are committed to demystifying AI through knowledge exchange and promoting education, research, and development in our community.;677
